label,application_type_abstract,publication_title_claims
A,utility The present disclosure relates generally  compositions and methods  treating neoplastic diseases  cancers  such  glioblastoma and non Hodgkin  lymphomas   other cancers  which the subject suffers from  advanced solid tumor  comprising  combination    administering  combination    bromodomain and extra terminal protein  BET  inhibitor and  least one chemotherapeutic agent  which does not inhibit BET directly  The BET inhibitor chemotherapeutic agent combination   combination therapy  can yield synergistic effects  thereby increasing the effectiveness  the cancer treatment  compared with the administration  either the BET inhibitor  the chemotherapeutic agent alone ,Bromodomain and extra terminal protein inhibitor combination therapy
H,utility This disclosure pertains  augmenting metadata   packet destined for service function chaining with application identifier information  The application identifier information can  added  the metadata   packet service header    more specifically   network service header   The packet can  exported   statistics collector that can correlate statistical information about the application with statistical information about service functions applied  the packet   well  other statistical information ,Application identifier in service function chain metadata
H,utility  digital radiographic detector detects  first mode signal and dispositions  received digital image according   procedure associated with the first mode signal   second mode signal results  dispositioning  second received digital image according   second image disposition procedure  The detector determines the first mode  second mode based  the signal  pulse width   number and timing  rising edges  peaks    digital code   voltage level    combination thereof ,High frame capture rate synchronization with streaming mode
"F,A",utility  soap wand holder assembly for holding  soap wand   vertical orientation for storage includes  first bracket that  positionable over  bridge portion   double kitchen sink   second bracket  positionable over the bridge portion  the double kitchen sink   spacer  coupled between each  the first and second brackets for spacing the first and second brackets apart from each other   holder  coupled between each  the first bracket and the second bracket   soap wand  positionable  the holder when the first and second brackets are positioned  the bridge portion  the double kitchen sink ,Soap wand holder assembly
G,utility  novel semiconductor device  display system  provided  The display system includes  correction circuit having  function  correcting  image signal  utilizing artificial intelligence  Specifically  learning   artificial neural network enables the correction circuit  correct  image signal    alleviate the image discontinuity  Then   making  inference  recognition  utilizing the artificial neural network which has finished the learning  the image signal  corrected and compensation for the image discontinuity can  made   this manner  the junction can  inconspicuous  the displayed image  improving the quality   high resolution image ,Display system and electronic device
A,utility The invention relates   squeezing machine  the type  which the juice  obtained   squeezing unit comprising  least one male drum     and  least one female drum  the female drum     having recesses for holding the fruit and the male drum having protrusions that insert  the recesses  the female drum  catch the fruit  the squeezing unit     and other auxiliary elements are joined  each other  preferably   casing  such that they can engage and  released from the drive element       single block ,Automatic squeezer with the entire squeezing unit interconnected by a support independent of the drive unit
C,utility  primer includes  layered thermite coating comprising alternating layers  metal oxide and reducing metal  thermite  deposited upon  substrate  The layered thermite coating may include  primary ignition portion adjacent  the substrate  and  secondary ignition portion deposited  the primary ignition portion  The alternating thermite layers may  thinner within the primary ignition portion than  the secondary ignition portion  The primary ignition portion  structured for sensitivity   firing pin strike  the opposite side  the substrate  The secondary ignition portion  structured  burn   rate that will ignite smokeless powder  other ignitable substances used  munitions ,Primer for firearms and other munitions
"G,B",utility  vehicle communication system includes   communication server and  vehicle control device  The vehicle control device       includes  least one electronic control unit configured   recognize  position  the host vehicle  acquire section information  the communication established section and the communication interrupted section  determine  which section  either the communication established section  the communication interrupted section  the host vehicle  traveling    travel  perform system driven control  the host vehicle based  the road condition information when the host vehicle travels  the communication established section  and perform driver driven control  the host vehicle when the host vehicle travels  the communication interrupted section ,Vehicle communication system and vehicle control device
H,utility  improved method and structure  provided for constructing elastomeric pin arrays using  non conductive medium and compression limiters  Pin  pin  the same elastomeric material  pin  pin  similar elastomeric material   pin  metal cap structure interconnects are constructed using  elastomeric connection through  non conductive medium  Compression limiting structures are mated  the non conductive medium  This structure eliminates the need for PCB structures  the medium reducing manufacturing cost ,Method and structure for conductive elastomeric pin arrays using conductive elastomeric interconnects and or metal caps through a hole or an opening in a non conductive medium
"C,B",utility The present invention relates   magnesium alloy material and  method for manufacturing the same  The magnesium alloy material comprises  with respect  the total         thereof                                   and the balance being  and other unavoidable impurities  wherein the magnesium alloy comprises  secondary phase compound comprising  and   the alloy  which  Volta potential difference between the secondary phase compound and  magnesium base  less than      ,Magnesium alloy materials and method for producing the same
G,utility  optical element for  head mounted display  HMD  includes  illumination layer   optical combiner  and  optically transparent layer  The illumination layer  configured  emit infrared light towards  eyeward side  the optical element  The optical combiner  configured  receive reflected infrared light that  reflected   eye   user and  direct the reflected infrared light towards  infrared camera  The optically transparent layer  disposed between the illumination layer and the eyeward side  the optical element  The optical element may further include one  both   confinement layer and  infrared extractor  The confinement layer  disposed   surface  the optically transparent layer  induce waveguiding  confined infrared light propagating within the optically transparent layer  The infrared extractor  disposed   side edge  the optically transparent layer  absorb  frustrate the confined infrared light ,Optical element for reducing stray infrared light
G,utility Systems and methods are provided for processing  response  essay prompts that request  narrative response   data structure associated with  narrative essay  accessed  The essay  analyzed  generate  organization subscore  where the organization subscore  generated using  graph metric  identifying content words  each sentence  the essay and populating  data structure with links between related content words  neighboring sentences  wherein the organization subscore  determined based  the links  The essay  analyzed  generate  development subscore  where the development subscore  generated using  transition metric  accessing  transition cue data store and identifying transition words  the essay  wherein the development subscore  based   number  words  the essay that match words  the transition cue data store   narrative quality metric  determined based  the organization subscore and the development subscore ,Platform for administering and evaluating narrative essay examinations
A,utility The invention relates  electronic smoking devices      and  additive reservoirs      for electronic smoking devices        order   able  provide  additive that does not pass  atomizer       the electronic smoking device       the invention provides that the electronic smoking devices      comprise  additive supply assembly      with  least one additive inlet opening      arranged   distance  the atomizer       and that the additive reservoirs      comprises  least one additive outlet opening       its inner lateral surface      ,Electronic smoking device and additive reservoir for electronic smoking device
H,utility Excessive latencies and power consumption are avoided when  large number  leaf nodes  LNs  contend simultaneously  join  time slotted channel hopping wireless communication network having  root node    interfaced  LNs  one  more intermediate nodes  INs    first plurality  shared transmit receive slots  STRSs   allocated for  least one   and  second plurality  STRSs  advertised for use  contending LNs  where the first plurality  larger than the second plurality  When   joins  its STRSs are  defined such that most become shared transmit only slots  STOSs  and  STRSs remain  The numbers  STRSs allocated  INs may vary inversely with their hop counts from the   One  more STOSs may  added for each  one  more INs  response   predetermined network condition ,Adaptive time slot allocation to reduce latency and power consumption in a time slotted channel hopping wireless communication network
G,utility There  provided  heater according   embodiment including  heat generating unit configured  generate heat  electric conduction  and  plurality  electrodes configured   respectively disposed  facing side edges  the heat generating unit     electrically connected  the heat generating unit and  least one side  the side edges  formed  cutting out  part thereof ,Heater and fixing device
"G,B",utility  example device includes  physical interface  connect   system  The device also includes  power source  deliver power   diagnostic portion  the system via the physical interface  The diagnostic portion draws  small amount  power  The power source delivers the power based  the system not receiving power from  internal source  The device also includes  reporting engine  communicatively couple  the system via the physical interface  The reporting engine retrieves  indication  whether  cable  the system  connected ,Detection of cable connections
A,utility  novel maize variety designated       and seed  plants and plant parts thereof are produced  crossing inbred maize varieties  Methods for producing  maize plant  crossing hybrid maize variety       with another maize plant are disclosed  Methods for producing  maize plant containing  its genetic material one  more traits introgressed into       through backcrossing  genetic transformation  and  the maize seed  plant and plant part produced thereby are described  Maize variety        the seed  the plant produced from the seed  and variants  mutants  and minor modifications  maize variety       are provided  Methods for producing maize varieties derived from maize variety       and methods  using maize variety       are disclosed ,Maize hybrid X  N   
"G,H",utility Cloud based orchestration may  leveraged  create flexible storage solutions that use continuous adaptation  tailor themselves  their target application workloads that made provide efficiencies  performance  cost   scalability over conventional designs ,Adaptive software defined storage for cloud storage workloads
"G,H,A,E",utility  voice controlled device comprises  housing   dock   coupling mechanism  and  microphone  The dock  configured  connect the housing   plurality  host appliances  The coupling mechanism  configured  receive  identification value indicative  docking between the voice controlled device and  currently connected host appliance  the plurality  host appliances  The microphone  configured  receive one  more voice inputs for the currently connected host appliance   command  provided based  the one  more voice inputs and the identification value ,Bathroom speaker
"G,B",utility  display device according  the present embodiment includes  display panel  and  corrugated panel facing  rear surface  the display panel and having  corrugated core disposed between  front skin and  rear skin ,Display device
G,utility  computer system for automating dynamic multi user communication  configured  receive  first user dataset associated with  first user  The computer system can communicate first user interface elements   first user  The computer system then receives  from the first user   user data response based upon the first user interface elements  Upon receiving the user data response  the computer system identifies  using  correlating function   second user from  The computer system communicates  least  portion  the user data response  the second user  The computer system then receives  from the second user   first user data response ranking  The computer system updates  first user ranking with the first user data response ranking  The computer system then communicates the first user data response ranking  the first user ,Multi user integrated communication platform
H,utility  multilayer ceramic capacitor includes  body and  external electrode  the body  The body includes  dielectric layer and  internal electrode  The external electrode includes  electrode layer connected  the internal electrode   first plating portion  the electrode layer  and  second plating portion  the first plating portion  The first plating portion includes  plurality  plating layers  which  tin    plated layer and  nickel    plated layer are alternately stacked ,Multilayer ceramic capacitor including external electrode having tin plated layers alternately stacked with nickel plated layer s 
A,utility The present invention relates  new plasma  new platelet rich plasma preparations  new cell dissociation methods  new cell associations  compositions   method  preparation thereof   use thereof  devices for the preparation thereof and preparations containing such  platelet rich plasma preparation and cell associations  compositions  Specifically  the invention provides plasma  platelet rich plasma alone   cell composition preparations for use  tissue regeneration and bone regeneration and pain reduction ,Cell preparations for extemporaneous use  useful for healing and rejuvenation in vivo
G,utility  system and method for using images from  commodity camera for object scanning  reverse engineering  metrology  assembly  and analysis are disclosed   particular embodiment includes  mobile imaging system   enable  user  align  object   analyzed   turntable with  stencil  issue commands   use   data processor   the turntable for automatic rotation  the turntable and the object thereon   particular orientation for  camera   mobile imaging device  capture  plurality  images  the object being analyzed  different automatic rotations  the turntable  upload the plurality  images  the object   server via  network interface and  data network  and cause the server  generate  three dimensional     model  the object from the plurality  images  the object ,System and method for using images from a commodity camera for object scanning  reverse engineering  metrology  assembly  and analysis
A,utility Provided are mobile decontamination units and methods  using such units for decontaminating various areas  such  aircraft cabins   mobile decontamination unit comprises  least one aerosol dispersing nozzle and  least one aerosol directing fan  The nozzle disperses disinfectant  the aerosol form  while the fan directed this aerosol  surfaces being decontaminated  Aerosol dispersing parameters  such the nozzle and fan orientations  dispersing rate  fan speed  and the like  are determined based  area characteristics  Specifically  orientations  different surfaces  temperature  humidity and  other like characteristics may  considered  Some characteristics may  obtained  the mobile decontamination unit after its deployment  the area  such  using its sensors  Other characteristics  such  area layout  may  preloaded  the mobile decontamination unit prior  its deployment  The dispersing parameters are determined  ensure through decontamination  the surfaces  the area ,Automated decontamination of complex areas
"B,C",utility  method for manufacturing  component for  wind turbine  provided    first step   fiber material  laid onto  mold surface    further step   uncured foam material  provided  top  the fiber material  Thereafter  the uncured foam material  cured  form  core member  Then   resin impregnating the fiber material  cured  form the component  Thus   core member for  component   wind turbine can  provided easily ,Method for manufacturing a component for a wind turbine
"C,B",utility The instant disclosure provides  method for preparing  perovskite crystal  including  mixing step   crystallization step   diluting step and  recrystallization step  The mixing step includes adding  first precursor and  second precursor into  solvent for forming  supersaturated solution  The crystallization step includes stirring the supersaturated solution for initiating  reaction between the first and second precursors  the supersaturated solution  form  perovskite powder   solution  The diluting step includes adding the solvent  the solution and stirring the solution for dissociating the perovskite powder  the solution  form  clear solution  The recrystallization step includes adding  crystal seed into the clear solution for initiating  crystallization process  the crystal seed and forming the perovskite crystal ,Method for preparing perovskite crystal
G,utility Logic integrated with  memory and related methods for performing background functions are provided   method   memory includes   response   request from  host separate from the memory  initiating processing   background function  The method further includes automatically monitoring the memory  detect whether any standard operation requiring  use   least one  the plurality  the memory cells  the memory   least one data path  the memory  being performed  The method further includes automatically suspending the processing  the background function when the standard operation requiring the use   memory cell   data path  the memory  detected unless the processing  the background function requires only resources that are provided  part  the logic integrated with the memory and that are configured  process only the background function ,Performing background functions using logic integrated with a memory
"H,G",utility Examples disclosed herein relate  path synchronous performance monitoring   interconnection network based  source code attribution   processing node  the interconnection network has  profiler module  select  network transaction   monitored  determine  source code attribution associated with the network transaction   monitored  and issue  network command  execute the network transaction   monitored   logger module creates    buffer   node temporal log associated with the network transaction and the network command   drainer module periodically captures the node temporal log  The processing node has  network interface controller  receive the network command and mark  packet generated for the network command   temporally tracked and attributed back  the source code attribution  each hop  the interconnection network traversed  the marked packet ,Path synchronous performance monitoring of interconnection networks based on source code attribution
"A,B",utility  walking assistant harness attached   leg   trainee    assist walking  the trainee includes   thigh frame placed along  front side   rear side   thigh  the trainee  and  thigh fixation belt connected  the thigh frame   connection portion     fix the thigh  the trainee  the thigh frame  and the connection portion includes  connecting position adjustment mechanism configured  adjust  connecting position with the thigh fixation belt   right left direction  the trainee ,Walking assistant harness
"C,A",utility  one aspect  provided herein   polypeptide comprising  modified angiopoietin receptor  fragment thereof  wherein the polypeptide binds preferentially  angiopoietin   compared  angiopoeitin    Nucleic acid sequences encoding the polypeptide   well  pharmaceutical uses  the polypeptide  treating diseases such  cancer and inflammation are also provided ,Nucleic acid encoding angiopoietin   specific Tie  receptor
G,utility  head mounted display and  imaging apparatus for displaying image thereof are provided  The imaging apparatus includes  first display   second display  and  first focus adjusting apparatus  The first display generates  first sub image  wherein the first sub image  located   first imaging plane  and  then projected  the target system  The second display generates  second sub image  wherein the second sub image  located   second imaging plane  and  then projected  the target system  The first focus adjusting apparatus   front  the second display  and  used  adjust the position  the second imaging plane  The first imaging surface and  second imaging surface are overlapped  non overlapped ,Head mounted display and imaging apparatus for displaying image thereof
"B,H,G",utility Technologies are described for methods and systems effective for etching nanostructures   substrate  The methods may comprise depositing  patterned block copolymer  the substrate  The patterned block copolymer may include first and second polymer block domains  The methods may comprise applying  precursor  the patterned block copolymer  generate  infiltrated block copolymer  The precursor may infiltrate into the first polymer block domain and generate  material  the first polymer block domain  The methods may comprise applying  removal agent  the infiltrated block copolymer  generate  patterned material  The removal agent may  effective  remove the first and second polymer block domains from the substrate  The methods may comprise etching the substrate  The patterned material  the substrate may mask the substrate  pattern the etching  The etching may  performed under conditions  produce nanostructures  the substrate ,Formation of antireflective surfaces
"B,H",utility  example embodiment includes  landing pad having  housing and  power terminal configured  draw electric power from  power source  The landing pad further includes  electrically conductive landing terminal dorsal  the housing and configured such that  during  landing state   aerial vehicle  the landing terminal makes contact with  plurality  electric contacts disposed ventrally   fuselage  the aerial vehicle  The landing terminal  configured  transfer electric power drawn  the power terminal  the aerial vehicle via the electric contacts during the landing state  the aerial vehicle ,Systems for charging aerial vehicles
H,utility Some embodiments include gated bipolar junction transistors  The transistors may include  base region between  collector region and  emitter region  with    junction being   interface  the base region and the collector region  and with    junction being   interface  the base region and the emitter region  The transistors may include material having  bandgap   least      within one  more  the base  emitter and collector regions  The gated transistors may include  gate along the base region and spaced from the base region  dielectric material  with the gate not overlapping either the   junction  the   junction  Some embodiments include memory arrays containing gated bipolar junction transistors  Some embodiments include methods  forming gated bipolar junction transistors ,Gated bipolar junction transistors  memory arrays  and methods of forming gated bipolar junction transistors
"G,A",utility  apparatus  system  and method for the measurement  aggregation and analysis  data collected using non contact  minimally contacting sensors provides quality  life parameters for individual subjects  particularly  the context   controlled trial  interventions  human subjects       clinical trial   drug    evaluation   consumer item such   fragrance    particular  non contact  minimal contact measurement  quality  life parameters such  sleep  stress  relaxation  drowsiness  temperature and emotional state  humans may  evaluated  together with automated sampling  storage  and transmission   remote data analysis center  One component  the system  that the objective data  measured with  little disruption  possible  the normal behavior  the subject  The system can also support behavioral and pharmaceutical interventions aimed  improving quality  life ,Systems and methods for monitoring quality of life parameters using non contact sensors
G,utility  electronic device with  display and  note taking application  displays   the display   first user interface  the note taking application  wherein  the note taking application includes  plurality  notes prepared   user  the plurality  notes includes electronic text content input  the user  and content created and  selected  the user that  distinct from the electronic text content  the content created and  selected includes content from  plurality  distinct content categories  and the first user interface displays  categorized content view affordance  detects activation  the categorized content view affordance  and   response  detecting activation  the categorized content view affordance  displays    categorized content view   scrollable list   least some  the content created and  selected  the user that  distinct from the electronic text content input  the user  wherein the content  the scrollable list  organized and displayed  the content categories ,Devices and methods for displaying content in a note taking application
"A,B,D",utility This application  directed   device comprising  covering attached  the device   process  making  device with  specific covering attached  also disclosed  The application further discloses  method for the treatment  perforations  fistulas  ruptures  dehiscence and aneurisms  luminal vessels and organs   subject ,Device and method for management of aneurism  perforation and other vascular abnormalities
G,utility Systems and methods for performing hash based mount point lookup  virtual file systems   example method may include  receiving  first character string representing  file name  identifying  within  array  mount point strings   second character string comprised  the first character string  identifying  file system object associated with  mount point path represented  the second character string  and utilizing the file system object  access  file referenced  the file name ,Hash based mount point lookup in virtual file systems
A,utility The invention relates   compound selected from among celastrol  the derivatives thereof and the pharmaceutically acceptable salts  celastrol and its derivatives    composition comprising such  compound for use  the topical prevention and  treatment   tumour  precancerous disease  the skin ,Celastrol and derivatives thereof for the treatment of tumours and precancerous diseases of the skin
G,utility Disclosed are  system and method for micro nano machining  femtosecond laser two photon polymerization  The system includes   femtosecond laser   external light path modulation unit   image capture apparatus   focusing lens   displacement platform   computer and  monitoring apparatus  where the image capture apparatus  configured  capture cross section graphs   three dimensional micro nano device layer  layer   that modulated femtosecond lasers form parallel beams arranged according  all layers  the cross section graphs ,System and method for micro nano machining by femtosecond laser two photon polymerization
"A,C",utility Disclosed are positively charged  cytotoxic nanoparticle compositions comprising immune modulators  such  the toll like receptor  TLR    ligand  monophosphoryl lipid  MPL     and Interleukin          which exhibit enhanced uptake  mammalian cancer cells  and cause increased cancer cell death and   increased release  cancer antigens following direct injection  populations  cancer  tumor cells  Also disclosed are nanoparticle vectored  immunomodulatory compositions that stimulate antigen presenting immune cells and  cells  and support the development  anti cancer immunity  mammalian hosts  The disclosed cationic liposomes represent  important advance  the area  cancer immunotherapeutics ,Cationic liposomes for cancer immunotherapy
C,utility Catalyst compositions that include  vanadium compound can  used  polymerize ethylenically unsaturated hydrocarbon monomers that include  least one polyene and  least one                 olefin  with the presence   highly halogenated ketone increasing the activity  the catalyst composition while not negatively impacting the relative percentage  molar   olefin mer incorporation ,Copolymerization of polyenes and alkenes
G,utility The present application provides  gate driving circuit   display apparatus and  method  driving the same  The gate driving circuit includes  plurality  shift registers  which are divided into  first group  shift registers and  second group  shift registers   output terminal     stage  shift register  electrically coupled   input terminal         stage  shift register   output terminal         stage  shift register  electrically coupled   input terminal          stage  shift register   reset terminal  the   stage  shift register  electrically coupled   output terminal         stage  shift register  and  reset terminal  the       stage  shift register  electrically coupled   output terminal           stage  shift register ,Gate driving circuit  dispaly apparatus and driving method thereof
"G,H",utility  apparatus and  method are described for modifying test measurement signals for protective devices for electric power networks  The apparatus has  input interface  receive  first test measurement signal from  test generator  wherein the first test measurement signal  matched   first electrical input characteristic   first protective device for  power network  The apparatus further has  electrical modification system coupled  the input interface  convert the first test measurement signal into  second test measurement signal  wherein the second test measurement signal  matched   second electrical input characteristic   second protective device for the power network  The apparatus additionally has  output interface  output the second test measurement signal  the second protective device ,Modification of test measurement signals for protective devices for electric power networks
G,utility  method for storing information  SRAM bit cell arrays provides for lowering voltage supplied  the SRAM bit cell arrays  with voltage lowering controlled   connected voltage control circuit  Writing  reading  and correcting information storable  the SRAM bit cell arrays  accomplished using  error correcting code  ECC  block connected   least some  the SRAM bit cell arrays  The ECC block  configurable  repair stored information ,SRAM with error correction in retention mode
"H,F,G",utility  temperature control system for appliances  such   electric grill  air fryer  vacuum blender  convection oven  induction cooker      wok   coffeemaker  etc  The control system comprises digital circuitry for controlling temperature  the appliance  and includes  first safety component  the circuitry for stopping the heating function   threshold parameter  such   maximum temperature  and  second safety component  the circuitry for stopping the heating function   second threshold temperature  the first safety component fails  the first threshold temperature  The first and second safety components  preferably switches  fuses  are connected  series  establish  redundant safety mechanism ,Electronic temperature safety control for a heating element
G,utility  three dimensional integrated circuit includes  first layer including  least one sensing element configured  output  least one temperature dependent voltage  and  second layer disposed vertically with respect  the first layer and coupled  the first layer   least one via  The second layer includes   compare circuit configured  generate  least one intermediate voltage  response  comparing the  least one temperature dependent voltage   feedback voltage   control circuit configured  generate  least one control signal  response  the intermediate voltage  and  switching circuit configured  couple  capacitor coupled   feedback node  one   first voltage supply and  second voltage supply  response  the  least one control signal  generate  output signal that  based   temperature sensed  the sensing element , D thermal detection circuits and methods
F,utility  control device includes  reception unit configured  receive  load schedule indicating  load  the future   combined cycle plant   steam temperature control unit configured  control  temperature  steam flowing into  steam turbine  and  fuel control unit configured  control  flow rate  fuel supplied   gas turbine  The steam temperature control unit  configured  output  command indicating  amount  operation for decreasing the temperature  the steam   steam temperature regulator prior   load decrease time  which the load    decreased  the load schedule ,Combined cycle plant  method for reducing minimum output thereof  and control device therefor
"B,E",utility  panel forming station has  frame   pair  clamping devices and  pair  end forming devices   panel  clamped between one clamping device and the frame  The first forming device forms  first trimless end  the panel  The first forming device has  cutter bending blade and  roller that forms the first trimless end  The second clamping device clamps  panel  The second forming device has  cutter   bending blade and  roller  form the second trimless end   controller couples with the first and second clamping device and first and second end forming devices  control the panel  passage through the frame ,Panel forming assembly
A,utility  capsule endoscopic system  disclosed  where the system comprises  capsule device and  docking device  The capsule device comprises  battery   secondary coil  and  capsule housing  enclose the battery and the secondary coil   sealed environment  where the capsule device consists   first end and  second end   longitudinal direction  the capsule device  and the battery  located  proximity  the first end and the secondary coil  located  proximity  the second end  The docking device comprises  opening  the docking device   primary coil  generate  alternating magnetic field  and  primary core  The capsule endoscopic system  arranged  that  least  portion  the secondary coil  enclosed  the primary coil and the battery  outside the primary coil when the capsule device   the docked position ,Docking system with inductive powering for capsule camera
G,utility Systems and methods for operating  screen activity moderated skill wagering interleaved game are disclosed   screen activity moderated skill wagering game  provides  entertainment game and  gambling game  The entertainment game  provided   entertainment system and  managed   game world operating system  The gambling game  provided   real credit operating system  The screen activity moderated skill wagering interleaved game also provides screen activity moderation  adjust gambling activity based  the level  screen activity within the entertainment game  During periods  high intensity game play within the entertainment game  the screen activity moderated skill wagering interleaved game  some embodiments adjusts the gambling activity within the gambling game inversely based  the level  screen activity ,Screen activity moderation in a skill wagering interleaved game
B,utility  off road vehicle has  air heater with right and left shells surrounding and supporting  core  with the right and left shells connected  screws extending through ears  one  the shells into bosses  the other shell  Dual air control plates are mounted  the shell   shaft for pivoting movement   actuator  linked  the shaft   swing arm with  guide pin riding   arced slot   drive plate rotationally secured  the shaft  The right and left shells are secured  the vehicle using  resilient compressible grommet  with  bushing extending through the grommet and  bolt extending through the bushing and attached into the frame ,ATV air heat exchanger with mounting structure and linkage
G,utility The gating control features described include creating  first gate   scaled data space  The scaling properties may  stored  associated with the gate   the scaling parameters are changed for the gate either manually  through automated detection the scaled properties are continually updated  reflect the most recent changes  When gate properties are changed   gate that applies  multiple data sets  the correct scaled properties are continuously stored with the gate for each data set   the properties are being change interactively  The features also allow for backwards compatibility  associating current scaling parameters with  predefined gate ,Biexponential transformation for graphics display
"B,F",utility The present invention provides  dust cover which  provided between  engine room and the driver  seat such that  when  steering shaft provided under  steering wheel   vehicle  installed passing through  vehicle frame  the steering shaft passes through the dust cover  The dust cover  characterized  comprising   pair  bearings coupled  the steering shaft   pair  bearing races provided  surround outer circumferential surfaces  the bearings   ring shaped fixing cap forcibly inserted into the bearing races through both sides   opening  interference fitting  thereby fixing the bearings  and  integrally formed seal part having through holes  which the bearing races are coupled ,Integral type dust cover with bearings
"G,H,A",utility  imaging device includes  illuminator   stage   plurality  microlenses   imaging element  and  controller  The controller  configured  control  least one   irradiation position  light beams from the illuminator  and the position  the plurality  microlenses  realize  first state and  second state   first angle  the light beams incident  each  the plurality  microlenses  the first state and  second angle  the light beams incident  each  the plurality  microlenses  the second state are different from each other ,Imaging device
G,utility The disclosure relates   method  apparatus  device  and computer readable storage medium for determining  lane line   road  The method includes  acquiring  first curve   reference curve  the first curve being obtained  fitting  first set  points selected from sets  points  different areas  the road  iteratively executing operations  selecting  second set  points from the sets  points based  the reference curve  generating  second curve  fitting the second set  points  determining  difference between  fitting degree associated with the reference curve and  fitting degree associated with the second curve  determining whether  convergence condition  met based  the difference  and setting the second curve  the reference curve  not met and determining the lane line  the road based  the second set  points  met ,Method  apparatus  and device for determining lane line on road
H,utility Techniques are described for wireless communication  One method includes receiving    downlink portion   transmission structure   shared radio frequency spectrum band   uplink grant for  uplink data portion  the transmission structure  The transmission structure includes the downlink portion  followed  and time domain multiplexed with  uplink control portion  followed  and time domain multiplexed with the uplink data portion  The method also includes retaining access  the shared radio frequency spectrum band  transmitting  unscheduled transmission during the uplink control portion  the transmission structure ,Retaining access to a shared radio frequency spectrum band during an uplink control portion of a transmission structure
"H,G",utility  dynamic dual port passive intermodulation reference signal generator for calibrating  intermodulation testing device includes   power allocation coupling network   non linear device located under  biasing condition  and  voltage modulation module  Extraction   carrier signal  performed through  power distribution coupling network  the carrier signal  extracted excites  non linear device  generate  intermodulation signal  this part  signal  together with the excitation signal   coupled back  two ports  the generator  the same power distribution coupling network  thereby forming reflected and transmitted reference intermodulation levels  reference sources for calibrating the intermodulation testing apparatus  The voltage modulation generating module generates  voltage wave   certain value  implementing modulation  the intermodulation signal  through the modulated intermodulation signal  the intermodulation testing region power level and intermodulation transient response feature within  nominal range are calibrated for the intermodulation testing device ,Dynamic passive intermodulation reference signal generator
F,utility The present disclosure relates   backlight unit and  liquid crystal display device having  backlight unit  The backlight unit includes  light guide plate   light source assembly positioned adjacent   light incident surface among lateral surfaces  the light guide plate  and  external tape covering the entire lateral surface  the light guide plate except the light incident surface and parts   upper surface and  lower surface  the light guide plate  Thus  the light efficiency  the backlight unit may  increased and the manufacturing costs reduced  Further  since the light efficiency  the backlight unit  increased  the luminance and power consumption  the liquid crystal display device can  improved ,Backlight unit and liquid crystal display device having a backlight unit
H,utility Rendered portions   renderable portion   first view   multi view signal are introduced into  prediction loop   multi view encoder  form  reference signal for the block based prediction  the encoder  view predictor may improve the prediction and thereby increasing the coding efficiency  The introduction may  performed  completely inserting the renderable portion into the prediction loop  form new reference pictures with their own reference picture indices  addition  reference pictures obtained  the reconstructed version  the multi view signal  the block based prediction  Alternatively  the rendered portion may  introduced into the prediction loop completely  but with replacing the normal prediction reference signal      the normally reconstructed signal  obtained  block based prediction  Alternatively   may  signaled within the data stream which portions  the renderable portion are used  replace respective portions  the normally reconstructed signal ,Multi view coding with exploitation of renderable portions
B,utility  wheel hub for  heavy duty vehicle includes  first and second tubular hub segment  The first tubular hub segment has  first annular end surface  The second tubular hub segment has  second annular end surface and  radially extending flange   continuous  circumferential joint  formed  the interface  the first annular end surface and second annular end surface ,Wheel hub for heavy duty vehicles
A,utility The present disclosure discloses  scene audio effect controlling method and apparatus  The method includes  setting  intersection area between  first scene and  second scene  where the intersection area includes  first parameter control line for performing audio effect control  the first scene and  second parameter control line for performing audio effect control  the second scene  determining  position parameter   game role  the intersection area  determining  respectively  the first parameter control line and the second parameter control line   first scene audio effect control parameter and  second scene audio effect control parameter that correspond  the position parameter  and setting  first scene audio effect according  the first scene audio effect control parameter and setting  second scene audio effect according  the second scene audio effect control parameter ,Scene audio effect controlling method and apparatus
